from_stop_id,to_stop_id,from_stop_name,to_stop_name
KG09,KG10,BANDAR UTAMA,TAMAN TUN DR ISMAIL
KG10,KG12,TAMAN TUN DR ISMAIL,PHILEO DAMANSARA
KG12,KG13,PHILEO DAMANSARA,PUSAT BANDAR DAMANSARA
KG13,KG14,PUSAT BANDAR DAMANSARA,SEMANTAN
KG14,KG15,SEMANTAN,MUZIUM NEGARA
KG15,KG16,MUZIUM NEGARA,PASAR SENI
KG16,KG17,PASAR SENI,MERDEKA
KG17,KG18A,MERDEKA,BUKIT BINTANG 
KG18A,KG20,BUKIT BINTANG ,TUN RAZAK EXCHANGE
KG20,KG21,TUN RAZAK EXCHANGE,COCHRANE
KG21,KG22,COCHRANE,MALURI
KG22,KG23,MALURI,TAMAN PERTAMA
KG23,KG24,TAMAN PERTAMA,TAMAN MIDAH
KG24,KG25,TAMAN MIDAH,TAMAN MUTIARA
KG25,KG26,TAMAN MUTIARA,TAMAN CONNAUGHT
KG26,KG27,TAMAN CONNAUGHT,TAMAN SUNTEX
KG27,KG28,TAMAN SUNTEX,SRI RAYA
KG28,KG29,SRI RAYA,BANDAR TUN HUSSIEN ONN
KG29,KG30,BANDAR TUN HUSSIEN ONN,BATU 11 CHERAS
KG30,KG31,BATU 11 CHERAS,BUKIT DUKUNG
KG31,KG33,BUKIT DUKUNG,SUNGAI JERNIH
KG33,KG34,SUNGAI JERNIH,STADIUM KAJANG
KG34,KG35,STADIUM KAJANG,KAJANG
KG35,KG34,KAJANG,STADIUM KAJANG
KG34,KG33,STADIUM KAJANG,SUNGAI JERNIH
KG33,KG31,SUNGAI JERNIH,BUKIT DUKUNG
KG31,KG30,BUKIT DUKUNG,BATU 11 CHERAS
KG30,KG29,BATU 11 CHERAS,BANDAR TUN HUSSIEN ONN
KG29,KG28,BANDAR TUN HUSSIEN ONN,SRI RAYA
KG28,KG27,SRI RAYA,TAMAN SUNTEX
KG27,KG26,TAMAN SUNTEX,TAMAN CONNAUGHT
KG26,KG25,TAMAN CONNAUGHT,TAMAN MUTIARA
KG25,KG24,TAMAN MUTIARA,TAMAN MIDAH
KG24,KG23,TAMAN MIDAH,TAMAN PERTAMA
KG23,KG22,TAMAN PERTAMA,MALURI
KG22,KG21,MALURI,COCHRANE
KG21,KG20,COCHRANE,TUN RAZAK EXCHANGE
KG20,KG18A,TUN RAZAK EXCHANGE,BUKIT BINTANG 
KG18A,KG17,BUKIT BINTANG ,MERDEKA
KG17,KG16,MERDEKA,PASAR SENI
KG16,KG15,PASAR SENI,MUZIUM NEGARA
KG15,KG14,MUZIUM NEGARA,SEMANTAN
KG14,KG13,SEMANTAN,PUSAT BANDAR DAMANSARA
KG13,KG12,PUSAT BANDAR DAMANSARA,PHILEO DAMANSARA
KG12,KG10,PHILEO DAMANSARA,TAMAN TUN DR ISMAIL
KG10,KG09,TAMAN TUN DR ISMAIL,BANDAR UTAMA
KG09,KG08,BANDAR UTAMA,MUTIARA DAMANSARA
KG08,KG07,MUTIARA DAMANSARA,SURIAN
KG07,KG06,SURIAN,KOTA DAMANSARA
KG06,KG05,KOTA DAMANSARA,KWASA SENTRAL
KG05,KG04,KWASA SENTRAL,KWASA DAMANSARA
