route_id_x,service_id,trip_id,trip_headsign,direction_id_x,shape_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_color,route_text_color,category_x,status_x,route_id_y,direction_id_y,arrival_time,departure_time,stop_id,stop_sequence,stop_name,stop_lat,stop_lon,category_y,route_id,geometry,isOKU,status_y,search,start_time,end_time,headway_secs
PH,MonFri,SPL_MonFri_1,From Sentul Timur to Putra Heights,1,shp_PH_1,rapidrail,SPL,LRT Sri Petaling Line,Putra Height ~ Sentul Timur,1,76232f,FFFFFF,LRT,valid,SPL,1,6:42:27,6:42:45,SP22,22,KINRARA,3.050506,101.644294,LRT,PH,[object Object],True,valid,LRT KINRARA,17:00:00,19:00:00,180
PH,MonFri,SPL_MonFri_1,From Sentul Timur to Putra Heights,1,shp_PH_1,rapidrail,SPL,LRT Sri Petaling Line,Putra Height ~ Sentul Timur,1,76232f,FFFFFF,LRT,valid,SPL,1,6:42:27,6:42:45,SP22,22,KINRARA,3.050506,101.644294,LRT,PH,[object Object],True,valid,LRT KINRARA,19:00:00,24:00:00,300
PH,MonFri,SPL_MonFri_1,From Sentul Timur to Putra Heights,1,shp_PH_1,rapidrail,SPL,LRT Sri Petaling Line,Putra Height ~ Sentul Timur,1,76232f,FFFFFF,LRT,valid,SPL,1,6:46:13,6:46:31,SP24,23,IOI PUCHONG JAYA,3.048101,101.62095,LRT,PH,[object Object],True,valid,LRT IOI PUCHONG JAYA,6:00:00,9:00:00,180
PH,MonFri,SPL_MonFri_1,From Sentul Timur to Putra Heights,1,shp_PH_1,rapidrail,SPL,LRT Sri Petaling Line,Putra Height ~ Sentul Timur,1,76232f,FFFFFF,LRT,valid,SPL,1,6:46:13,6:46:31,SP24,23,IOI PUCHONG JAYA,3.048101,101.62095,LRT,PH,[object Object],True,valid,LRT IOI PUCHONG JAYA,9:00:00,17:00:00,300
PH,MonFri,SPL_MonFri_1,From Sentul Timur to Putra Heights,1,shp_PH_1,rapidrail,SPL,LRT Sri Petaling Line,Putra Height ~ Sentul Timur,1,76232f,FFFFFF,LRT,valid,SPL,1,6:46:13,6:46:31,SP24,23,IOI PUCHONG JAYA,3.048101,101.62095,LRT,PH,[object Object],True,valid,LRT IOI PUCHONG JAYA,17:00:00,19:00:00,180
PH,MonFri,SPL_MonFri_1,From Sentul Timur to Putra Heights,1,shp_PH_1,rapidrail,SPL,LRT Sri Petaling Line,Putra Height ~ Sentul Timur,1,76232f,FFFFFF,LRT,valid,SPL,1,6:46:13,6:46:31,SP24,23,IOI PUCHONG JAYA,3.048101,101.62095,LRT,PH,[object Object],True,valid,LRT IOI PUCHONG JAYA,19:00:00,24:00:00,300
PH,MonFri,SPL_MonFri_1,From Sentul Timur to Putra Heights,1,shp_PH_1,rapidrail,SPL,LRT Sri Petaling Line,Putra Height ~ Sentul Timur,1,76232f,FFFFFF,LRT,valid,SPL,1,6:47:41,6:47:59,SP25,24,PUSAT BANDAR PUCHONG,3.033194,101.616057,LRT,PH,[object Object],True,valid,LRT PUSAT BANDAR PUCHONG,6:00:00,9:00:00,180
PH,MonFri,SPL_MonFri_1,From Sentul Timur to Putra Heights,1,shp_PH_1,rapidrail,SPL,LRT Sri Petaling Line,Putra Height ~ Sentul Timur,1,76232f,FFFFFF,LRT,valid,SPL,1,6:47:41,6:47:59,SP25,24,PUSAT BANDAR PUCHONG,3.033194,101.616057,LRT,PH,[object Object],True,valid,LRT PUSAT BANDAR PUCHONG,9:00:00,17:00:00,300
PH,MonFri,SPL_MonFri_1,From Sentul Timur to Putra Heights,1,shp_PH_1,rapidrail,SPL,LRT Sri Petaling Line,Putra Height ~ Sentul Timur,1,76232f,FFFFFF,LRT,valid,SPL,1,6:47:41,6:47:59,SP25,24,PUSAT BANDAR PUCHONG,3.033194,101.616057,LRT,PH,[object Object],True,valid,LRT PUSAT BANDAR PUCHONG,17:00:00,19:00:00,180
PH,MonFri,SPL_MonFri_1,From Sentul Timur to Putra Heights,1,shp_PH_1,rapidrail,SPL,LRT Sri Petaling Line,Putra Height ~ Sentul Timur,1,76232f,FFFFFF,LRT,valid,SPL,1,6:47:41,6:47:59,SP25,24,PUSAT BANDAR PUCHONG,3.033194,101.616057,LRT,PH,[object Object],True,valid,LRT PUSAT BANDAR PUCHONG,19:00:00,24:00:00,300
PH,MonFri,SPL_MonFri_1,From Sentul Timur to Putra Heights,1,shp_PH_1,rapidrail,SPL,LRT Sri Petaling Line,Putra Height ~ Sentul Timur,1,76232f,FFFFFF,LRT,valid,SPL,1,6:49:41,6:49:59,SP26,25,TAMAN PERINDUSTRIAN PUCHONG,3.022814,101.613514,LRT,PH,[object Object],True,valid,LRT TAMAN PERINDUSTRIAN PUCHONG,6:00:00,9:00:00,180
PH,MonFri,SPL_MonFri_1,From Sentul Timur to Putra Heights,1,shp_PH_1,rapidrail,SPL,LRT Sri Petaling Line,Putra Height ~ Sentul Timur,1,76232f,FFFFFF,LRT,valid,SPL,1,6:49:41,6:49:59,SP26,25,TAMAN PERINDUSTRIAN PUCHONG,3.022814,101.613514,LRT,PH,[object Object],True,valid,LRT TAMAN PERINDUSTRIAN PUCHONG,9:00:00,17:00:00,300
PH,MonFri,SPL_MonFri_1,From Sentul Timur to Putra Heights,1,shp_PH_1,rapidrail,SPL,LRT Sri Petaling Line,Putra Height ~ Sentul Timur,1,76232f,FFFFFF,LRT,valid,SPL,1,6:49:41,6:49:59,SP26,25,TAMAN PERINDUSTRIAN PUCHONG,3.022814,101.613514,LRT,PH,[object Object],True,valid,LRT TAMAN PERINDUSTRIAN PUCHONG,17:00:00,19:00:00,180
PH,MonFri,SPL_MonFri_1,From Sentul Timur to Putra Heights,1,shp_PH_1,rapidrail,SPL,LRT Sri Petaling Line,Putra Height ~ Sentul Timur,1,76232f,FFFFFF,LRT,valid,SPL,1,6:49:41,6:49:59,SP26,25,TAMAN PERINDUSTRIAN PUCHONG,3.022814,101.613514,LRT,PH,[object Object],True,valid,LRT TAMAN PERINDUSTRIAN PUCHONG,19:00:00,24:00:00,300
PH,MonFri,SPL_MonFri_1,From Sentul Timur to Putra Heights,1,shp_PH_1,rapidrail,SPL,LRT Sri Petaling Line,Putra Height ~ Sentul Timur,1,76232f,FFFFFF,LRT,valid,SPL,1,6:51:25,6:51:43,SP27,26,BANDAR PUTERI,3.017111,101.612855,LRT,PH,[object Object],True,valid,LRT BANDAR PUTERI,6:00:00,9:00:00,180
PH,MonFri,SPL_MonFri_1,From Sentul Timur to Putra Heights,1,shp_PH_1,rapidrail,SPL,LRT Sri Petaling Line,Putra Height ~ Sentul Timur,1,76232f,FFFFFF,LRT,valid,SPL,1,6:51:25,6:51:43,SP27,26,BANDAR PUTERI,3.017111,101.612855,LRT,PH,[object Object],True,valid,LRT BANDAR PUTERI,9:00:00,17:00:00,300
PH,MonFri,SPL_MonFri_1,From Sentul Timur to Putra Heights,1,shp_PH_1,rapidrail,SPL,LRT Sri Petaling Line,Putra Height ~ Sentul Timur,1,76232f,FFFFFF,LRT,valid,SPL,1,6:51:25,6:51:43,SP27,26,BANDAR PUTERI,3.017111,101.612855,LRT,PH,[object Object],True,valid,LRT BANDAR PUTERI,17:00:00,19:00:00,180
PH,MonFri,SPL_MonFri_1,From Sentul Timur to Putra Heights,1,shp_PH_1,rapidrail,SPL,LRT Sri Petaling Line,Putra Height ~ Sentul Timur,1,76232f,FFFFFF,LRT,valid,SPL,1,6:51:25,6:51:43,SP27,26,BANDAR PUTERI,3.017111,101.612855,LRT,PH,[object Object],True,valid,LRT BANDAR PUTERI,19:00:00,24:00:00,300
PH,MonFri,SPL_MonFri_1,From Sentul Timur to Putra Heights,1,shp_PH_1,rapidrail,SPL,LRT Sri Petaling Line,Putra Height ~ Sentul Timur,1,76232f,FFFFFF,LRT,valid,SPL,1,6:53:34,6:53:52,SP28,27,PUCHONG PERDANA,3.007913,101.605021,LRT,PH,[object Object],True,valid,LRT PUCHONG PERDANA,6:00:00,9:00:00,180
PH,MonFri,SPL_MonFri_1,From Sentul Timur to Putra Heights,1,shp_PH_1,rapidrail,SPL,LRT Sri Petaling Line,Putra Height ~ Sentul Timur,1,76232f,FFFFFF,LRT,valid,SPL,1,6:53:34,6:53:52,SP28,27,PUCHONG PERDANA,3.007913,101.605021,LRT,PH,[object Object],True,valid,LRT PUCHONG PERDANA,9:00:00,17:00:00,300
PH,MonFri,SPL_MonFri_1,From Sentul Timur to Putra Heights,1,shp_PH_1,rapidrail,SPL,LRT Sri Petaling Line,Putra Height ~ Sentul Timur,1,76232f,FFFFFF,LRT,valid,SPL,1,6:53:34,6:53:52,SP28,27,PUCHONG PERDANA,3.007913,101.605021,LRT,PH,[object Object],True,valid,LRT PUCHONG PERDANA,17:00:00,19:00:00,180
PH,MonFri,SPL_MonFri_1,From Sentul Timur to Putra Heights,1,shp_PH_1,rapidrail,SPL,LRT Sri Petaling Line,Putra Height ~ Sentul Timur,1,76232f,FFFFFF,LRT,valid,SPL,1,6:53:34,6:53:52,SP28,27,PUCHONG PERDANA,3.007913,101.605021,LRT,PH,[object Object],True,valid,LRT PUCHONG PERDANA,19:00:00,24:00:00,300
PH,MonFri,SPL_MonFri_1,From Sentul Timur to Putra Heights,1,shp_PH_1,rapidrail,SPL,LRT Sri Petaling Line,Putra Height ~ Sentul Timur,1,76232f,FFFFFF,LRT,valid,SPL,1,6:56:19,6:56:37,SP29,28,PUCHONG PRIMA,2.999808,101.596692,LRT,PH,[object Object],True,valid,LRT PUCHONG PRIMA,6:00:00,9:00:00,180
PH,MonFri,SPL_MonFri_1,From Sentul Timur to Putra Heights,1,shp_PH_1,rapidrail,SPL,LRT Sri Petaling Line,Putra Height ~ Sentul Timur,1,76232f,FFFFFF,LRT,valid,SPL,1,6:56:19,6:56:37,SP29,28,PUCHONG PRIMA,2.999808,101.596692,LRT,PH,[object Object],True,valid,LRT PUCHONG PRIMA,9:00:00,17:00:00,300
PH,MonFri,SPL_MonFri_1,From Sentul Timur to Putra Heights,1,shp_PH_1,rapidrail,SPL,LRT Sri Petaling Line,Putra Height ~ Sentul Timur,1,76232f,FFFFFF,LRT,valid,SPL,1,6:56:19,6:56:37,SP29,28,PUCHONG PRIMA,2.999808,101.596692,LRT,PH,[object Object],True,valid,LRT PUCHONG PRIMA,17:00:00,19:00:00,180
PH,MonFri,SPL_MonFri_1,From Sentul Timur to Putra Heights,1,shp_PH_1,rapidrail,SPL,LRT Sri Petaling Line,Putra Height ~ Sentul Timur,1,76232f,FFFFFF,LRT,valid,SPL,1,6:56:19,6:56:37,SP29,28,PUCHONG PRIMA,2.999808,101.596692,LRT,PH,[object Object],True,valid,LRT PUCHONG PRIMA,19:00:00,24:00:00,300
PH,MonFri,SPL_MonFri_1,From Sentul Timur to Putra Heights,1,shp_PH_1,rapidrail,SPL,LRT Sri Petaling Line,Putra Height ~ Sentul Timur,1,76232f,FFFFFF,LRT,valid,SPL,1,7:00:11,7:00:29,SP31,29,PUTRA HEIGHTS,2.996016,101.575521,LRT,PH,[object Object],True,valid,LRT PUTRA HEIGHTS,6:00:00,9:00:00,180
PH,MonFri,SPL_MonFri_1,From Sentul Timur to Putra Heights,1,shp_PH_1,rapidrail,SPL,LRT Sri Petaling Line,Putra Height ~ Sentul Timur,1,76232f,FFFFFF,LRT,valid,SPL,1,7:00:11,7:00:29,SP31,29,PUTRA HEIGHTS,2.996016,101.575521,LRT,PH,[object Object],True,valid,LRT PUTRA HEIGHTS,9:00:00,17:00:00,300
PH,MonFri,SPL_MonFri_1,From Sentul Timur to Putra Heights,1,shp_PH_1,rapidrail,SPL,LRT Sri Petaling Line,Putra Height ~ Sentul Timur,1,76232f,FFFFFF,LRT,valid,SPL,1,7:00:11,7:00:29,SP31,29,PUTRA HEIGHTS,2.996016,101.575521,LRT,PH,[object Object],True,valid,LRT PUTRA HEIGHTS,17:00:00,19:00:00,180
