route_id_x,direction_id_x,trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_name,stop_lat,stop_lon,category_x,route_id_y,geometry,isOKU,status_x,search,route_id,service_id,trip_headsign,direction_id_y,shape_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_color,route_text_color,category_y,status_y
AGL,1,AGL_MonFri_1,6:14:13,6:14:31,AG10,10,PUDU,3.134879,101.711957,LRT,AG,[object Object],True,valid,LRT PUDU,AG,MonFri,From Sentul Timur to Ampang,1,shp_AG_1,rapidrail,AGL,LRT Ampang Line,Ampang ~ Chan Sow Lin,1,e57200,FFFFFF,LRT,valid
AGL,1,AGL_MonFri_1,6:15:58,6:16:16,AG11,11,CHAN SOW LIN,3.128105,101.715637,LRT,AG,[object Object],True,valid,LRT CHAN SOW LIN,AG,MonFri,From Sentul Timur to Ampang,1,shp_AG_1,rapidrail,AGL,LRT Ampang Line,Ampang ~ Chan Sow Lin,1,e57200,FFFFFF,LRT,valid
AGL,1,AGL_MonFri_1,6:17:32,6:17:50,AG12,12,MIHARJA,3.120973,101.717922,LRT,AG,[object Object],True,valid,LRT MIHARJA,AG,MonFri,From Sentul Timur to Ampang,1,shp_AG_1,rapidrail,AGL,LRT Ampang Line,Ampang ~ Chan Sow Lin,1,e57200,FFFFFF,LRT,valid
AGL,1,AGL_MonFri_1,6:19:16,6:19:34,AG13,13,MALURI,3.12329,101.727283,LRT,AG,[object Object],True,valid,LRT MALURI,AG,MonFri,From Sentul Timur to Ampang,1,shp_AG_1,rapidrail,AGL,LRT Ampang Line,Ampang ~ Chan Sow Lin,1,e57200,FFFFFF,LRT,valid
AGL,1,AGL_MonFri_1,6:21:22,6:21:40,AG14,14,PANDAN JAYA,3.130141,101.739122,LRT,AG,[object Object],True,valid,LRT PANDAN JAYA,AG,MonFri,From Sentul Timur to Ampang,1,shp_AG_1,rapidrail,AGL,LRT Ampang Line,Ampang ~ Chan Sow Lin,1,e57200,FFFFFF,LRT,valid
AGL,1,AGL_MonFri_1,6:23:01,6:23:19,AG15,15,PANDAN INDAH,3.134581,101.746509,LRT,AG,[object Object],True,valid,LRT PANDAN INDAH,AG,MonFri,From Sentul Timur to Ampang,1,shp_AG_1,rapidrail,AGL,LRT Ampang Line,Ampang ~ Chan Sow Lin,1,e57200,FFFFFF,LRT,valid
AGL,1,AGL_MonFri_1,6:24:31,6:24:49,AG16,16,CEMPAKA,3.138324,101.752979,LRT,AG,[object Object],True,valid,LRT CEMPAKA,AG,MonFri,From Sentul Timur to Ampang,1,shp_AG_1,rapidrail,AGL,LRT Ampang Line,Ampang ~ Chan Sow Lin,1,e57200,FFFFFF,LRT,valid
AGL,1,AGL_MonFri_1,6:25:45,6:26:03,AG17,17,CAHAYA,3.140575,101.756677,LRT,AG,[object Object],True,valid,LRT CAHAYA,AG,MonFri,From Sentul Timur to Ampang,1,shp_AG_1,rapidrail,AGL,LRT Ampang Line,Ampang ~ Chan Sow Lin,1,e57200,FFFFFF,LRT,valid
AGL,1,AGL_MonFri_1,6:28:02,6:28:20,AG18,18,AMPANG,3.150318,101.760049,LRT,AG,[object Object],True,valid,LRT AMPANG,AG,MonFri,From Sentul Timur to Ampang,1,shp_AG_1,rapidrail,AGL,LRT Ampang Line,Ampang ~ Chan Sow Lin,1,e57200,FFFFFF,LRT,valid
AGL,0,AGL_Sat_0,6:00:00,6:00:18,AG18,1,AMPANG,3.150318,101.760049,LRT,AG,[object Object],True,valid,LRT AMPANG,AG,Sat,From Ampang to Sentul Timur,0,shp_AG_0,rapidrail,AGL,LRT Ampang Line,Ampang ~ Chan Sow Lin,1,e57200,FFFFFF,LRT,valid
AGL,0,AGL_Sat_0,6:02:03,6:02:21,AG17,2,CAHAYA,3.140575,101.756677,LRT,AG,[object Object],True,valid,LRT CAHAYA,AG,Sat,From Ampang to Sentul Timur,0,shp_AG_0,rapidrail,AGL,LRT Ampang Line,Ampang ~ Chan Sow Lin,1,e57200,FFFFFF,LRT,valid
AGL,0,AGL_Sat_0,6:03:15,6:03:33,AG16,3,CEMPAKA,3.138324,101.752979,LRT,AG,[object Object],True,valid,LRT CEMPAKA,AG,Sat,From Ampang to Sentul Timur,0,shp_AG_0,rapidrail,AGL,LRT Ampang Line,Ampang ~ Chan Sow Lin,1,e57200,FFFFFF,LRT,valid
