stop_name,stop_sequence,weight
KENTOMEN,13,0.0
JALAN IPOH,14,0.0
SENTUL BARAT,15,0.0
TITIWANGSA,16,0.0
HOSPITAL KUALA LUMPUR,17,0.0
RAJA UDA,18,0.0
AMPANG PARK,19,0.0
PERSIARAN KLCC,20,0.0
CONLAY,21,0.0
TUN RAZAK EXCHANGE,22,0.0
CHAN SOW LIN,23,0.0
KUCHAI,24,0.0
TAMAN NAGA EMAS,25,0.0
SUNGAI BESI,26,0.0
SERDANG RAYA UTARA,27,0.0
SERDANG RAYA SELATAN,28,0.0
SERDANG JAYA,29,0.0
UPM,30,0.0
TAMAN EQUINE,31,0.0
PUTRA PERMAI,32,0.0
16 SIERRA,33,0.0
CYBERJAYA UTARA,34,0.0
CYBERJAYA CITY CENTRE,35,0.0
PUTRAJAYA SENTRAL,36,0.0
PUTRAJAYA SENTRAL,1,18.0
CYBERJAYA CITY CENTRE,2,0.0
CYBERJAYA UTARA,3,0.0
16 SIERRA,4,0.0
PUTRA PERMAI,5,0.0
TAMAN EQUINE,6,0.0
UPM,7,0.0
SERDANG JAYA,8,0.0
SERDANG RAYA SELATAN,9,0.0
SERDANG RAYA UTARA,10,0.0
SUNGAI BESI,11,0.0
TAMAN NAGA EMAS,12,0.0
KUCHAI,13,0.0
CHAN SOW LIN,14,0.0
TUN RAZAK EXCHANGE,15,0.0
CONLAY,16,0.0
PERSIARAN KLCC,17,0.0
AMPANG PARK,18,0.0
RAJA UDA,19,0.0
HOSPITAL KUALA LUMPUR,20,0.0
TITIWANGSA,21,0.0
SENTUL BARAT,22,0.0
JALAN IPOH,23,0.0
KENTOMEN,24,0.0
KAMPUNG BATU,25,0.0
SRI DELIMA,26,0.0
JINJANG,27,0.0
KEPONG BARU,28,0.0
METRO PRIMA,29,0.0
SRI DAMANSARA TIMUR,30,0.0
SRI DAMANSARA SENTRAL,31,0.0
SRI DAMANSARA BARAT,32,0.0
DAMANSARA DAMAI,33,0.0
SUNGAI BULOH,34,0.0
KAMPUNG SELAMAT,35,0.0
KWASA DAMANSARA,36,0.0
KWASA DAMANSARA,1,18.0
KAMPUNG SELAMAT,2,0.0
SUNGAI BULOH,3,0.0
DAMANSARA DAMAI,4,0.0
SRI DAMANSARA BARAT,5,0.0
SRI DAMANSARA SENTRAL,6,0.0
SRI DAMANSARA TIMUR,7,0.0
METRO PRIMA,8,0.0
KEPONG BARU,9,0.0
JINJANG,10,0.0
SRI DELIMA,11,0.0
KAMPUNG BATU,12,0.0
KENTOMEN,13,0.0
JALAN IPOH,14,0.0
SENTUL BARAT,15,0.0
TITIWANGSA,16,0.0
HOSPITAL KUALA LUMPUR,17,0.0
RAJA UDA,18,0.0
AMPANG PARK,19,0.0
PERSIARAN KLCC,20,0.0
CONLAY,21,0.0
TUN RAZAK EXCHANGE,22,0.0
CHAN SOW LIN,23,0.0
KUCHAI,24,0.0
TAMAN NAGA EMAS,25,0.0
SUNGAI BESI,26,0.0
SERDANG RAYA UTARA,27,0.0
SERDANG RAYA SELATAN,28,0.0
SERDANG JAYA,29,0.0
UPM,30,0.0
TAMAN EQUINE,31,0.0
PUTRA PERMAI,32,0.0
16 SIERRA,33,0.0
CYBERJAYA UTARA,34,0.0
CYBERJAYA CITY CENTRE,35,0.0
PUTRAJAYA SENTRAL,36,0.0
PUTRAJAYA SENTRAL,1,18.0
CYBERJAYA CITY CENTRE,2,0.0
CYBERJAYA UTARA,3,0.0
16 SIERRA,4,0.0
PUTRA PERMAI,5,0.0
TAMAN EQUINE,6,0.0
UPM,7,0.0
SERDANG JAYA,8,0.0
SERDANG RAYA SELATAN,9,0.0
SERDANG RAYA UTARA,10,0.0
SUNGAI BESI,11,0.0
TAMAN NAGA EMAS,12,0.0
KUCHAI,13,0.0
CHAN SOW LIN,14,0.0
TUN RAZAK EXCHANGE,15,0.0
CONLAY,16,0.0
PERSIARAN KLCC,17,0.0
AMPANG PARK,18,0.0
RAJA UDA,19,0.0
HOSPITAL KUALA LUMPUR,20,0.0
TITIWANGSA,21,0.0
SENTUL BARAT,22,0.0
JALAN IPOH,23,0.0
KENTOMEN,24,0.0
KAMPUNG BATU,25,0.0
SRI DELIMA,26,0.0
JINJANG,27,0.0
KEPONG BARU,28,0.0
METRO PRIMA,29,0.0
SRI DAMANSARA TIMUR,30,0.0
SRI DAMANSARA SENTRAL,31,0.0
SRI DAMANSARA BARAT,32,0.0
DAMANSARA DAMAI,33,0.0
SUNGAI BULOH,34,0.0
KAMPUNG SELAMAT,35,0.0
KWASA DAMANSARA,36,0.0
KWASA DAMANSARA,1,18.0
KAMPUNG SELAMAT,2,0.0
SUNGAI BULOH,3,0.0
DAMANSARA DAMAI,4,0.0
SRI DAMANSARA BARAT,5,0.0
SRI DAMANSARA SENTRAL,6,0.0
SRI DAMANSARA TIMUR,7,0.0
METRO PRIMA,8,0.0
KEPONG BARU,9,0.0
JINJANG,10,0.0
SRI DELIMA,11,0.0
KAMPUNG BATU,12,0.0
KENTOMEN,13,0.0
JALAN IPOH,14,0.0
SENTUL BARAT,15,0.0
TITIWANGSA,16,0.0
HOSPITAL KUALA LUMPUR,17,0.0
RAJA UDA,18,0.0
AMPANG PARK,19,0.0
PERSIARAN KLCC,20,0.0
CONLAY,21,0.0
TUN RAZAK EXCHANGE,22,0.0
CHAN SOW LIN,23,0.0
KUCHAI,24,0.0
TAMAN NAGA EMAS,25,0.0
SUNGAI BESI,26,0.0
SERDANG RAYA UTARA,27,0.0
SERDANG RAYA SELATAN,28,0.0
SERDANG JAYA,29,0.0
UPM,30,0.0
TAMAN EQUINE,31,0.0
PUTRA PERMAI,32,0.0
16 SIERRA,33,0.0
CYBERJAYA UTARA,34,0.0
CYBERJAYA CITY CENTRE,35,0.0
PUTRAJAYA SENTRAL,36,0.0
PUTRAJAYA SENTRAL,1,18.0
CYBERJAYA CITY CENTRE,2,0.0
CYBERJAYA UTARA,3,0.0
16 SIERRA,4,0.0
PUTRA PERMAI,5,0.0
TAMAN EQUINE,6,0.0
UPM,7,0.0
SERDANG JAYA,8,0.0
SERDANG RAYA SELATAN,9,0.0
SERDANG RAYA UTARA,10,0.0
SUNGAI BESI,11,0.0
TAMAN NAGA EMAS,12,0.0
KUCHAI,13,0.0
CHAN SOW LIN,14,0.0
TUN RAZAK EXCHANGE,15,0.0
CONLAY,16,0.0
PERSIARAN KLCC,17,0.0
AMPANG PARK,18,0.0
RAJA UDA,19,0.0
HOSPITAL KUALA LUMPUR,20,0.0
TITIWANGSA,21,0.0
SENTUL BARAT,22,0.0
JALAN IPOH,23,0.0
KENTOMEN,24,0.0
KAMPUNG BATU,25,0.0
SRI DELIMA,26,0.0
JINJANG,27,0.0
KEPONG BARU,28,0.0
METRO PRIMA,29,0.0
SRI DAMANSARA TIMUR,30,0.0
SRI DAMANSARA SENTRAL,31,0.0
SRI DAMANSARA BARAT,32,0.0
DAMANSARA DAMAI,33,0.0
SUNGAI BULOH,34,0.0
KAMPUNG SELAMAT,35,0.0
KWASA DAMANSARA,36,0.0
PUTRA HEIGHTS,1,18.0
PUCHONG PRIMA,2,18.0
PUCHONG PERDANA,3,18.0
BANDAR PUTERI,4,18.0
TAMAN PERINDUSTRIAN PUCHONG,5,18.0
PUSAT BANDAR PUCHONG,6,18.0
IOI PUCHONG JAYA,7,18.0
KINRARA,8,18.0
ALAM SUTERA,9,18.0
MUHIBBAH,10,18.0
AWAN BESAR,11,18.0
SRI PETALING,12,18.0
BUKIT JALIL,13,18.0
SUNGAI BESI,14,18.0
BANDAR TASIK SELATAN,15,18.0
BANDAR TUN RAZAK,16,18.0
SALAK SELATAN,17,18.0
CHERAS,18,18.0
CHAN SOW LIN,19,18.0
PUDU,20,18.0
HANG TUAH,21,18.0
PLAZA RAKYAT,22,18.0
MASJID JAMEK,23,18.0
BANDARAYA,24,18.0
SULTAN ISMAIL,25,18.0
PWTC,26,18.0
TITIWANGSA,27,18.0
SENTUL,28,18.0
SENTUL TIMUR,29,18.0
SENTUL TIMUR,1,18.0
SENTUL,2,18.0
TITIWANGSA,3,18.0
PWTC,4,18.0
